Frequency,Summed Intensity
-35.1291,0.000198262
-35.1242,0.00033871131
-35.1193,-0.000636143
-35.1144,0.0004172906
-35.1095,-0.00053700777
-35.1046,9.2311e-05
-35.0997,-0.0006331528
-35.0948,-3.618600000000001e-05
-35.0899,-1.874330000000004e-05
-35.085,0.0001568641
-35.0801,0.00024160449999999998
-35.0752,0.0002786829
-35.0703,3.3592700000000035e-05
-35.0655,0.000608627
-35.0606,-8.26383e-05
-35.0557,0.0002792331
-35.0508,0.0002989751
-35.0459,-0.0002798668
-35.041,-0.00039315169999999997
-35.0361,0.0004636096
-35.0312,0.00010900139999999998
-35.0263,-0.0002369483
-35.0214,1.73615e-05
-35.0165,-0.0002899326
-35.0116,-3.16973e-05
-35.0067,-0.00028078580000000003
-35.0019,0.0001871156
-34.997,-7.52121e-05
-34.9921,0.00012363726000000003
-34.9872,0.000247669
-34.9823,-0.00026569720000000003
-34.9774,-0.00014245299999999999
-34.9725,-9.704699999999998e-05
-34.9676,0.000343365
-34.9627,-0.00018060798
-34.9578,-0.00030721180999999996
-34.9529,-1.3434900000000002e-05
-34.948,0.00019995670000000002
-34.9431,0.00049290031
-34.9382,-7.98488e-05
-34.9333,-0.00021536737
-34.9285,-0.00011828959999999998
-34.9236,-0.000365869
-34.9187,2.56282e-05
-34.9138,0.0003742793
-34.9089,0.0009727069
-34.904,0.0004822266
-34.8991,-8.8816e-05
-34.8942,-0.000230108
-34.8893,-0.0007862161
-34.8844,-0.0007229630000000001
-34.8795,-0.0002610214
-34.8746,4.483899999999999e-05
-34.8697,-7.72653e-05
-34.8648,-0.00024248700000000002
-34.86,-0.00018083750000000002
-34.8551,-0.0002172944
-34.8502,-0.0001093501
-34.8453,-0.0005035630000000001
-34.8404,8.466382000000002e-05
-34.8355,8.492749999999999e-05
-34.8306,0.00012771278999999997
-34.8257,-0.0001803987
-34.8208,-0.00023043849999999997
-34.8159,0.00028188359999999996
-34.811,0.0004415506
-34.8061,0.0003038507
-34.8012,-0.0004328685
-34.7964,0.00024822527000000004
-34.7915,0.00016989819999999997
-34.7866,-0.00036211800000000003
-34.7817,-0.000629088
-34.7768,4.323659999999999e-05
-34.7719,-0.0002077671
-34.767,0.00024065300000000001
-34.7621,2.666889999999999e-05
-34.7572,-0.000474003565
-34.7523,-2.2876699999999997e-05
-34.7474,-0.0001806649
-34.7425,0.0004389741
-34.7376,-0.000212905
-34.7327,-0.0001845007
-34.7279,2.2745399999999987e-05
-34.723,0.00016882944999999997
-34.7181,0.000164836
-34.7132,-0.0006592036000000001
-34.7083,-4.8130000000000015e-05
-34.7034,-0.0002836734
-34.6985,-1.2625700000000003e-05
-34.6936,-0.0004503811
-34.6887,0.0002743627
-34.6838,-0.0003387497
-34.6789,-0.00035148381
-34.674,-0.00023365
-34.6691,4.80031e-05
-34.6642,0.000146578
-34.6594,-0.0003846795
-34.6545,-0.0001551333
-34.6496,-0.00011066200000000003
-34.6447,-0.0004578087
-34.6398,6.43756e-05
-34.6349,0.00016654939999999997
-34.63,3.021919999999999e-05
-34.6251,-1.463739999999999e-05
-34.6202,-0.00018778103
-34.6153,0.000238333
-34.6104,7.05998e-05
-34.6055,0.0004666629
-34.6006,-0.0008041448
-34.5958,-0.0005661846000000001
-34.5909,-0.00057602
-34.586,-0.000271112
-34.5811,0.0002993276
-34.5762,0.0001628322
-34.5713,0.0001358889
-34.5664,-1.0911299999999971e-05
-34.5615,5.293109999999999e-05
-34.5566,-3.726801000000001e-05
-34.5517,-0.0001395498
-34.5468,0.0003893789
-34.5419,0.00045061862000000003
-34.537,0.000123456
-34.5321,0.0002230267
-34.5272,0.0001321136
-34.5224,-0.0002432693
-34.5175,6.421600000000002e-05
-34.5126,0.0001870462
-34.5077,0.000847486
-34.5028,-0.00010292520000000004
-34.4979,0.00023538680000000003
-34.493,-0.0004217185
-34.4881,-0.00022836499999999996
-34.4832,-3.926170000000004e-05
-34.4783,0.00029962360200000003
-34.4734,-0.00017990280000000002
-34.4685,-3.699779999999997e-05
-34.4636,-0.00031564159999999996
-34.4588,6.457420000000001e-05
-34.4539,-0.0004697263
-34.449,0.0001561574
-34.4441,-0.000690864
-34.4392,0.000439548294
-34.4343,-0.0001638327
-34.4294,0.000414422
-34.4245,-0.0003798214
-34.4196,0.0002288302
-34.4147,-0.000397584
-34.4098,-0.0004521213
-34.4049,-0.000839396
-34.4,8.466889999999999e-05
-34.3951,-0.00021966000000000002
-34.3903,0.000147075
-34.3854,-0.00019712670000000002
-34.3805,-3.909200000000001e-05
-34.3756,8.760220000000003e-05
-34.3707,-0.000114905329
-34.3658,0.00038591119999999997
-34.3609,0.0002456499
-34.356,0.000247947
-34.3511,0.00013945990000000004
-34.3462,6.030590000000001e-05
-34.3413,-0.000631854
-34.3364,-0.0002518563
-34.3315,-0.000217611
-34.3266,-0.00032193000000000006
-34.3218,0.000253668
-34.3169,-2.766579999999996e-05
-34.312,-1.2600399999999968e-05
-34.3071,1.925200000000004e-05
-34.3022,0.00031802699999999997
-34.2973,0.00053621
-34.2924,0.0003383672
-34.2875,-2.1731999999999947e-06
-34.2826,-0.000865357
-34.2777,-6.71596e-05
-34.2728,0.00017784837999999998
-34.2679,-0.000193443
-34.263,-0.0002584703
-34.2582,0.0005170306999999999
-34.2533,0.0001509298
-34.2484,-0.0004639644
-34.2435,0.0009028640000000001
-34.2386,0.0003532049
-34.2337,0.000226598
-34.2288,5.556699999999999e-05
-34.2239,-0.0006650931999999999
-34.219,0.000632388
-34.2141,-3.30308e-05
-34.2092,-1.768569999999998e-05
-34.2043,6.67074e-05
-34.1994,-6.551847e-05
-34.1945,-0.000714974
-34.1896,-0.0002133091
-34.1848,0.0003765209
-34.1799,-0.000539606
-34.175,-0.00031999109999999997
-34.1701,-5.09978e-05
-34.1652,9.475149999999997e-05
-34.1603,0.0003941263
-34.1554,-3.5437000000000006e-05
-34.1505,0.0003062171
-34.1456,0.000446264
-34.1407,-0.00029512600000000005
-34.1358,-0.00014188150000000001
-34.1309,-0.0005081158999999999
-34.126,-0.00013168339999999998
-34.1212,0.000191629
-34.1163,0.0002916749
-34.1114,-0.00033961
-34.1065,-0.000350237
-34.1016,-0.0005188184
-34.0967,0.0004442479
-34.0918,5.625029999999999e-05
-34.0869,-0.00016611559999999998
-34.082,0.00015155213
-34.0771,0.0005337287
-34.0722,2.4410200000000006e-05
-34.0673,-8.403789999999999e-05
-34.0624,0.000311193
-34.0575,0.0008635223
-34.0527,-0.00018177849999999996
-34.0478,0.0004000055
-34.0429,-0.0001064755
-34.038,-0.000323264
-34.0331,-0.000545837
-34.0282,0.00037808300000000003
-34.0233,3.2678300000000036e-05
-34.0184,-0.00025384729999999996
-34.0135,0.000635726
-34.0086,-1.7321999999999628e-06
-34.0037,0.00013933820000000001
-33.9988,0.000528231
-33.9939,0.0001805203
-33.989,0.00044824700000000003
-33.9842,-0.00020627563999999998
-33.9793,0.0001726529
-33.9744,-0.00021161739999999996
-33.9695,-0.001045434
-33.9646,0.00014261900000000002
-33.9597,0.00038398299999999996
-33.9548,-0.000331015
-33.9499,0.00036420720000000003
-33.945,0.0002111701
-33.9401,-0.00014757809999999997
-33.9352,-0.0005950809999999999
-33.9303,0.0001011016
-33.9254,-0.000911465
-33.9206,0.0004917087
-33.9157,0.0001550934
-33.9108,-0.00044804970000000003
-33.9059,0.000443753
-33.901,0.00065071
-33.8961,0.00026330149999999997
-33.8912,-0.00017417099999999998
-33.8863,-0.0002132273
-33.8814,0.00031832789999999996
-33.8765,0.00053386799
-33.8716,0.00014487163000000003
-33.8667,-0.0006642887
-33.8618,0.0001801051
-33.8569,-0.0002747952
-33.852,-0.000211731
-33.8472,0.0002584691
-33.8423,0.00023651202
-33.8374,-0.00010945999999999999
-33.8325,-7.546380000000003e-05
-33.8276,0.00036177329999999996
-33.8227,9.92597e-05
-33.8178,-0.0003654483
-33.8129,0.0001549756
-33.808,5.094673799999999e-05
-33.8031,0.000583635
-33.7982,-0.000752008
-33.7933,0.000779666
-33.7884,0.0003020988
-33.7836,-0.0003067320000000001
-33.7787,-0.0007645322999999999
